timestamp,city,pm25,no2,o3,temperature,humidity,wind_speed,latitude,longitude,AQI,AQI_Category,pm25_ma3,pm25_lag1,pm25_lag3,is_polluted
2023-01-01 00:00:00+00:00,Los Angeles,67.45,47.188,57.78,25.24,47.0,2.76,34.05,-118.25,157.17017913593256,Unhealthy,,,,1
2023-01-01 00:00:00+00:00,New Delhi,37.27,35.1748,84.54,19.32,47.0,10.44,28.61,77.21,105.35829145728644,Unhealthy (Sensitive),,67.45,,1
2023-01-01 00:00:00+00:00,Sydney,54.07,52.8092,82.78,29.07,89.0,14.81,11.660000000000004,151.21,146.72512562814072,Unhealthy (Sensitive),52.93000000000001,37.27,,1
2023-01-01 00:00:00+00:00,London,74.19,67.1912,49.9,20.51,69.0,4.45,51.51,-0.13,160.65026343519494,Unhealthy,55.17666666666667,54.07,67.45,1
2023-01-01 00:00:00+00:00,Beijing,48.06,29.139999999999997,36.9,19.59,71.0,0.78,39.91,116.4,131.92663316582914,Unhealthy (Sensitive),58.77333333333333,74.19,37.27,1
2023-01-01 01:00:00+00:00,Los Angeles,82.85,52.2452,76.16,19.1,77.0,3.16,34.05,-118.25,165.12170706006322,Unhealthy,68.36666666666666,48.06,54.07,1
2023-01-01 01:00:00+00:00,Sydney,35.22,28.162399999999998,77.96,24.14,82.0,14.08,11.660000000000004,151.21,99.62145922746781,Moderate,55.376666666666665,82.85,74.19,0
2023-01-01 01:00:00+00:00,New Delhi,34.39,38.8784,57.38,24.71,49.0,9.81,28.61,77.21,97.87596566523607,Moderate,50.81999999999999,35.22,48.06,0
2023-01-01 01:00:00+00:00,London,55.81,46.9248,53.36,17.8,58.0,8.89,51.51,-0.13,151.1600632244468,Unhealthy,41.806666666666665,34.39,82.85,1
2023-01-01 01:00:00+00:00,Beijing,40.93,23.556399999999996,55.3,23.35,33.0,2.82,39.91,116.4,114.37035175879397,Unhealthy (Sensitive),43.71,55.81,35.22,1
2023-01-01 02:00:00+00:00,Sydney,50.38,40.9276,81.36,26.88,34.0,7.61,11.660000000000004,151.21,137.6391959798995,Unhealthy (Sensitive),49.04,40.93,34.39,1
2023-01-01 02:00:00+00:00,London,70.72,42.6008,71.32,25.88,30.0,9.3,51.51,-0.13,158.85858798735512,Unhealthy,54.01,50.38,55.81,1
2023-01-01 02:00:00+00:00,New Delhi,57.7,67.9996,83.18,20.2,61.0,11.39,28.61,77.21,152.1359325605901,Unhealthy,59.6,70.72,40.93,1
2023-01-01 02:00:00+00:00,Los Angeles,52.12,51.5496,29.38,13.38,31.0,9.37,34.05,-118.25,141.92361809045227,Unhealthy (Sensitive),60.18,57.7,50.38,1
2023-01-01 02:00:00+00:00,Beijing,67.65,70.93239999999999,62.02,19.65,79.0,4.98,39.91,116.4,157.27344573234984,Unhealthy,59.156666666666666,52.12,70.72,1
2023-01-01 03:00:00+00:00,Los Angeles,51.57,38.953599999999994,48.12,18.48,65.0,11.89,34.05,-118.25,140.56934673366834,Unhealthy (Sensitive),57.11333333333334,67.65,57.7,1
2023-01-01 03:00:00+00:00,Sydney,65.54,36.359199999999994,52.24,20.53,66.0,4.82,11.660000000000004,151.21,156.18398314014752,Unhealthy,61.586666666666666,51.57,52.12,1
2023-01-01 03:00:00+00:00,New Delhi,40.11,41.47279999999999,51.56,19.46,80.0,14.72,28.61,77.21,112.35125628140703,Unhealthy (Sensitive),52.40666666666666,65.54,67.65,1
