timestamp,city,pm25,no2,o3,temperature,humidity,wind_speed,latitude,longitude
2023-01-01 00:00:00+00:00,Los Angeles,67.45,47.188,57.78,25.24,47.0,2.76,34.05,-118.25
2023-01-01 01:00:00+00:00,Los Angeles,82.85,52.2452,76.16,19.1,77.0,3.16,34.05,-118.25
2023-01-01 02:00:00+00:00,Los Angeles,52.12,51.5496,29.38,13.38,31.0,9.37,34.05,-118.25
2023-01-01 03:00:00+00:00,Los Angeles,51.57,38.953599999999994,48.12,18.48,65.0,11.89,34.05,-118.25
2023-01-01 04:00:00+00:00,Los Angeles,27.91,48.2784,37.2,19.28,44.0,9.31,34.05,-118.25
2023-01-01 05:00:00+00:00,Los Angeles,61.66,35.72,75.16,23.46,78.0,6.88,34.05,-118.25
2023-01-01 06:00:00+00:00,Los Angeles,50.47,46.7556,43.08,26.11,39.0,5.02,34.05,-118.25
2023-01-01 07:00:00+00:00,Los Angeles,41.69,95.0058,79.1,23.09,54.0,13.87,34.05,-118.25
2023-01-01 08:00:00+00:00,Los Angeles,73.23,44.819199999999995,55.18,14.61,81.0,12.52,34.05,-118.25
2023-01-01 09:00:00+00:00,Los Angeles,49.2,21.676399999999997,45.92,16.35,89.0,12.13,34.05,-118.25
2023-01-01 10:00:00+00:00,Los Angeles,62.02,34.2724,69.78,27.15,69.0,11.68,34.05,-118.25
2023-01-01 11:00:00+00:00,Los Angeles,73.97,43.108399999999996,50.02,14.46,34.0,1.42,34.05,-118.25
2023-01-01 12:00:00+00:00,Los Angeles,76.49,26.207199999999997,40.86,26.06,35.0,13.36,34.05,-118.25
2023-01-01 13:00:00+00:00,Los Angeles,80.34,27.485599999999998,58.78,26.86,59.0,8.64,34.05,-118.25
2023-01-01 14:00:00+00:00,Los Angeles,71.93,46.3232,85.04,8.9,43.0,0.87,34.05,-118.25
2023-01-01 15:00:00+00:00,Los Angeles,72.33,20.3228,76.68,26.52,34.0,4.11,34.05,-118.25
2023-01-01 16:00:00+00:00,Los Angeles,60.29,74.7864,51.7,17.96,40.0,13.98,34.05,-118.25
2023-01-01 17:00:00+00:00,Los Angeles,52.47,56.4188,78.54,23.29,74.0,3.21,34.05,-118.25
2023-01-01 18:00:00+00:00,Los Angeles,64.72,48.82359999999999,75.5,18.49,79.0,3.81,34.05,-118.25
2023-01-01 19:00:00+00:00,Los Angeles,55.09,70.9512,55.32,8.72,55.0,3.72,34.05,-118.25
2023-01-01 20:00:00+00:00,Los Angeles,65.18,40.5516,47.16,21.19,86.0,8.02,34.05,-118.25
2023-01-01 21:00:00+00:00,Los Angeles,66.06,29.2716,82.46,21.91,86.0,4.86,34.05,-118.25
2023-01-01 22:00:00+00:00,Los Angeles,34.9,48.128,99.42,21.04,45.0,2.6,34.05,-118.25
2023-01-01 23:00:00+00:00,Los Angeles,64.52,53.391999999999996,59.88,25.84,57.0,11.54,34.05,-118.25
2023-01-02 00:00:00+00:00,Los Angeles,42.75,61.87079999999999,45.44,29.01,38.0,9.69,34.05,-118.25
2023-01-02 01:00:00+00:00,Los Angeles,38.97,49.114999999999995,45.9,22.38,37.0,12.61,34.05,-118.25
2023-01-02 02:00:00+00:00,Los Angeles,45.14,36.359199999999994,61.6,19.48,68.0,10.32,34.05,-118.25
2023-01-02 03:00:00+00:00,Los Angeles,60.14,40.1192,70.38,15.89,63.0,3.03,34.05,-118.25
2023-01-02 04:00:00+00:00,Los Angeles,46.21,76.14,47.46,20.39,73.0,13.91,34.05,-118.25
2023-01-02 05:00:00+00:00,Los Angeles,54.65,57.452799999999996,76.7,24.63,47.0,8.55,34.05,-118.25
2023-01-02 06:00:00+00:00,Los Angeles,35.89,50.478,64.16,25.91,40.0,5.42,34.05,-118.25
2023-01-02 07:00:00+00:00,Los Angeles,79.49,30.700399999999995,69.88,28.09,46.0,1.72,34.05,-118.25
2023-01-02 08:00:00+00:00,Los Angeles,64.4,33.5768,89.86,24.37,36.0,9.95,34.05,-118.25
